|   iter    |  target   |   alpha   |     k     |     l     |
|  52       | -472.7    |  0.144    |  3.21     |  3.488    |
|  53       | -446.0    |  0.1605   |  1.933    |  8.889    |
|  54       | -1.113e+0 |  0.1845   |  2.998    |  7.126    |
|  55       | -1.2e+03  |  0.1052   |  3.337    |  3.286    |
=============================================================
|   iter    |  target   |   alpha   |     k     |     l     |
-------------------------------------------------------------
|  1        | -358.9    |  0.0834   |  3.161    |  1.001    |
|  2        | -172.0    |  0.06047  |  1.44     |  2.2      |
|  3        | -42.9     |  0.03725  |  2.037    |  6.158    |
|  4        | -130.7    |  0.1078   |  2.258    |  9.908    |
|  5        | -124.0    |  0.04089  |  3.634    |  1.356    |
|  6        | -58.12    |  0.07517  |  3.37     |  11.07    |
|  7        | -331.3    |  0.1065   |  3.362    |  3.274    |
|  8        | -140.6    |  0.1192   |  1.783    |  10.71    |
|  9        | -16.07    |  0.0455   |  1.467    |  13.31    |
|  10       | -480.0    |  0.1453   |  3.186    |  3.531    |
|  11       | -16.0     |  0.04564  |  1.464    |  13.31    |
|  12       | -13.16    |  0.04376  |  1.458    |  13.31    |
|  13       | -50.66    |  0.09775  |  3.524    |  13.73    |
|  14       | -41.4     |  1e-06    |  1.416    |  13.37    |
|  15       | -1.21     |  0.02676  |  1.45     |  13.33    |
|  16       | -2.387    |  0.02339  |  1.451    |  13.33    |
|  17       | -38.91    |  0.03534  |  2.036    |  6.157    |
|  18       | -1.226    |  0.02483  |  1.454    |  13.33    |
|  19       | -6.284    |  0.03744  |  1.435    |  13.34    |
|  20       | -27.72    |  0.05418  |  1.452    |  13.31    |
|  21       | -4.527    |  0.03537  |  1.449    |  13.32    |
|  22       | -12.03    |  0.04272  |  1.454    |  13.32    |
|  23       | -21.4     |  0.009934 |  1.488    |  13.38    |
|  24       | -35.32    |  0.002373 |  1.479    |  13.31    |
|  25       | -43.8     |  0.08942  |  3.501    |  13.72    |
|  26       | -29.01    |  0.006305 |  1.445    |  13.37    |
|  27       | -32.21    |  0.04601  |  1.194    |  10.15    |
|  28       | -21.65    |  0.05061  |  1.446    |  13.34    |
|  29       | -10.33    |  0.01791  |  1.475    |  13.31    |
|  30       | -438.3    |  0.1678   |  2.256    |  4.849    |
|  31       | -35.54    |  0.002373 |  1.498    |  13.37    |
